# HF active-space bond scan
# active_space: (6, 4)
# basis: sto-3g
# energies in Hartree; HF_minus_GS in milli-Hartree
bond_angstrom	E_HF_Ha	E_GS_Ha	HF_minus_GS_mHa
0.6	-98.193772843812	-98.197625316736	3.852473
0.8	-98.529612904031	-98.541172164419	11.559260
1	-98.570489739001	-98.597486294332	26.996555
1.2	-98.523071130864	-98.573878336679	50.807206
1.4	-98.451926582808	-98.534885532967	82.958950
1.6	-98.378327516585	-98.500992730418	122.665214
1.8	-98.311229096357	-98.477958063085	166.728967
2	-98.255078531699	-98.464937834412	209.859303
