# Br2 active-space bond scan
# active_space: (14, 8)
# basis: sto-3g
# energies in Hartree; HF_minus_GS in milli-Hartree
bond_angstrom	E_HF_Ha	E_GS_Ha	HF_minus_GS_mHa
1	-5082.748434348851	-5082.750301823979	1.867475
1.2	-5086.144047117785	-5086.148458613418	4.411496
1.4	-5087.868909611674	-5087.875428005336	6.518394
1.6	-5088.707732477932	-5088.716175781139	8.443303
1.8	-5089.100222971541	-5089.111264007403	11.041036
2	-5089.268803847577	-5089.283769798399	14.965951
2.2	-5089.323799207325	-5089.344677859835	20.878653
2.4	-5089.322276755218	-5089.351856315027	29.579560
2.6	-5089.294637515408	-5089.336574516692	41.937001
2.8	-5089.257304874895	-5089.315814086636	58.509212
3	-5089.219111825216	-5089.298004723070	78.892898
