traj_iter,theta1,theta2,theta3,E_exact,E_rem,E_unmit,residual_rem,residual_unmit
15,0.03218582237947622,0.078385907561425,1.1499702210870502,-98.44884547560085,-97.99409211543109,-97.46176822960128,0.45475336016976087,0.987077245999572
15,0.03897213673321241,-0.00936324807828057,1.1605115137882667,-98.45199449361141,-97.99635208206345,-97.4425963473946,0.4556424115479558,1.0093981462168102
15,0.08980213684459301,0.05132063336486,1.100930367130692,-98.44445563625383,-97.9677368543143,-97.42411456794517,0.47671878193953887,1.0203410683086673
6,0.17098833440590402,-0.020052833675864558,0.64240534983992,-98.37898426979748,-98.07934039710818,-97.49348660649838,0.2996438726893018,0.8854976632991054
2,0.04023743492319134,0.011111222731807167,0.21012466629290816,-98.2761658324691,-98.02191932009428,-97.47809369490322,0.2542465123748201,0.7980721375658817
14,-0.0002741842297045143,0.04976909014602933,1.0955850947071282,-98.44780135454812,-98.0661063168297,-97.49246608796213,0.3816950377184156,0.9553352665859904
1,-0.05056494555655605,0.03190594539691827,0.1868697403377898,-98.26748852171393,-97.98796956498732,-97.45878747339394,0.279518956726605,0.808701048319989
4,0.0194561930507464,0.11145421279872408,0.39558908270705534,-98.32702968738381,-97.99363601448873,-97.46869298554957,0.3333936728950846,0.8583367018342472
2,0.09319541232340518,0.06350379890950572,0.22613630783836114,-98.28140215747884,-97.97771086763672,-97.45324228347978,0.3036912898421207,0.8281598739990557
5,0.07643117649155114,-0.012271808178613362,0.5049034044485808,-98.35416433100974,-98.02331096913905,-97.48887767301439,0.3308533618706946,0.8652866579953553
8,-0.050957948454724164,-0.06142417350111673,0.8399490503894409,-98.4165006050737,-97.96451784294212,-97.42285473463862,0.4519827621315784,0.9936458704350741
1,0.0006891589728433307,0.05842437091842276,0.10655089437591585,-98.24504505399464,-97.98556759277598,-97.43308952598815,0.25947746121866544,0.811955528006493
12,-0.026344512357931817,0.1570232139172942,1.1223118976555335,-98.4383094868443,-98.06107704518564,-97.46972960906685,0.37723244165866276,0.9685798777774579
3,0.030023799537536165,0.022563119814791817,0.3826342908134236,-98.32434012963127,-97.97211557560755,-97.44108406455729,0.35222455402372077,0.8832560650739794
12,-0.003785917077606414,0.08853607355567027,1.086188242625877,-98.44470217437785,-98.09436615333479,-97.51940777222305,0.35033602104306283,0.9252944021548046
5,-0.03651764384119112,0.06673592601827595,0.5558690377880338,-98.36537839487717,-98.05128548283628,-97.47917014483095,0.3140929120408913,0.8862082500462236
12,0.03963081508084938,0.06051049586999113,1.1221969084844674,-98.44833703466877,-97.97227932373202,-97.41117197838523,0.4760577109367432,1.0371650562835413
15,-0.018032831536257406,0.1192275845835229,1.1691411363127149,-98.44578895955182,-97.94547935821826,-97.43174729017456,0.5003096013335551,1.0140416693772636
15,0.04822025233703622,-0.07247416197279588,1.2115896908408337,-98.45053668677623,-98.01474281240377,-97.44654218117655,0.43579387437246453,1.0039945055996782
4,0.0623817692794513,-0.002893225764465438,0.4341422691777713,-98.33727222910291,-98.05299851704812,-97.48100689331216,0.2842737120547838,0.8562653357907521
8,0.052838009899732384,0.07764260980392945,0.8297970399572446,-98.41678905080516,-98.06218502031624,-97.46734574704584,0.35460403048892886,0.949443303759324
7,0.0026049654844108316,0.03306721945439654,0.6150676539962192,-98.3794820604318,-97.9683386512951,-97.436958118443,0.4111434091366988,0.9425239419887959
4,0.027361525171307556,0.0005025565869585039,0.4534419618702531,-98.34216363169759,-98.07069792465471,-97.50326571338653,0.27146570704287853,0.8388979183110621
9,0.09074841901244335,0.05568519098300039,0.782459931826829,-98.40882035522843,-98.09156766509513,-97.51690844379651,0.3172526901333015,0.8919119114319187
14,0.033964187532104576,-0.047329704589131674,1.1531001920961967,-98.45046998197829,-97.99640748590947,-97.44080474164494,0.4540624960688149,1.009665240333348
13,0.017711456153520738,-0.04472993252652513,1.029685359299475,-98.44205838678657,-98.04532557870169,-97.47397125981522,0.3967328080848773,0.9680871269713549
10,0.06132963217534975,0.12538525165585546,0.9419416816016497,-98.42729922831201,-98.0064460860993,-97.44911530497224,0.42085314221270664,0.9781839233397704
13,0.026083051198383177,-0.017618009794387053,1.0821552029626917,-98.4473189877046,-98.09716773729188,-97.49969134889331,0.350151250412722,0.9476276388112979
8,-0.05607054848996443,0.031711311076615636,0.8035168719913425,-98.41280674897804,-98.02058605783438,-97.4755483527984,0.3922206911436632,0.9372583961796437
10,0.003986701440355775,0.024751476018224354,0.9265712976734122,-98.4321219776917,-98.02790197623607,-97.46274984269193,0.4042200014556272,0.9693721349997588
15,0.07340765199203043,0.0027204115239132117,1.1742290864268041,-98.45078213687141,-98.02812656121401,-97.47087192566525,0.4226555756574015,0.9799102112061604
